"","Feature","Gain","Cover","Frequency"
"1","DF.L2.C3",0.0360503003161569,0.0135144539669192,0.0270657924148722
"2","DF.L2.C2",0.02921842048147,0.0134850973042926,0.0267863795544296
"3","DF.L2.C1",0.0270996441207962,0.0133220473615811,0.0259108859250428
"4","DF.L2.C4",0.0251233468883475,0.0135855514148799,0.0253520602041577
"5","DF.L2.C6",0.0228877243462439,0.0113624095654043,0.021645182922286
"6","DF.L2.C5",0.0190180918235136,0.0100487104222736,0.0199128231875419
"7","f190486d6",0.016699228225523,0.00639212555173991,0.0077490499962745
"8","15ace8c9f",0.0138130881406115,0.00548929691836529,0.00821473809701215
"9","eeb9cd3aa",0.0124510789772768,0.00466859941848641,0.00631473064600253
"10","024c577b9",0.0112839793014072,0.00450987701307789,0.00642649579017957
"11","58e2e02e6",0.0110665788628625,0.00589401373146001,0.00724610684747783
"12","9fd594eec",0.0099811044203543,0.0042694378128516,0.0062029655018255
"13","b43a7cfd5",0.00931302606121019,0.00504244032713543,0.00676179122271068
"14","fb0f5dbfe",0.00900078291272305,0.00499732344886983,0.00733924446762536
"15","66ace2992",0.00889477247043248,0.00358100642650032,0.00573727740108785
"16","c47340d97",0.00876980465980647,0.00479202630688442,0.00685492884285821
"17","f74e8f13d",0.00863594583291954,0.00405659049940133,0.00612845540570747
"18","20aa07010",0.00772170616461766,0.00448349745058179,0.00633335817003204
"19","1702b5bf0",0.00768452848806849,0.00410792245783617,0.00596080768944192
"20","6eef030c1",0.0073869480301711,0.00423563084590633,0.00530884434840921
"21","e176a204a",0.00732473610638535,0.00382575781815268,0.00616571045376649
"22","58e056e12",0.00712879555501506,0.00341918415394566,0.00532747187243872
"23","87ffda550",0.00659159507570172,0.00409151771536477,0.00333432680128157
"24","58232a6fb",0.0063730563634902,0.00380617647915033,0.00519707920423217
"25","491b9ee45",0.00624310870076343,0.00550501109637344,0.00609120035764846
"26","1db387535",0.00616763636186621,0.0029011840771242,0.00478727367558304
"27","c5a231d81",0.0056293507656323,0.00333338535585623,0.0058862975933239
"28","1931ccfdd",0.0056288027973085,0.00361934042714911,0.0055882572088518
"29","5c6487af1",0.00558584317142592,0.00362333035515899,0.00560688473288131
"30","26fc93eb7",0.00546178270319899,0.0030825876886812,0.00480590119961255
"31","703885424",0.00526137653720271,0.00296238343444501,0.00461962595931749
"32","324921c7b",0.00508866856289387,0.00384118042449857,0.00577453244914686
